application_id,checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since_years,property,age_years,other_installment_plans,housing,existing_credits_count,job,dependents_count,telephone,foreign_worker,default
0102,0_to_200,36,existing_paid_duly,radio_tv,2323,lt_100,4_to_7y,4,male_single,none,4,car_or_other,24,none,rent,1,skilled_employee,1,none,yes,0
0103,none,6,past_delays,radio_tv,932,lt_100,1_to_4y,3,female_divorced_separated_married,none,2,real_estate,24,none,own,1,skilled_employee,1,none,yes,0
0104,0_to_200,9,critical_or_other_credits,furniture_equipment,1919,lt_100,4_to_7y,4,male_single,none,3,car_or_other,35,none,rent,1,skilled_employee,1,yes,yes,0
0105,none,12,existing_paid_duly,car_used,2445,unknown_or_none,lt_1y,2,male_married_widowed,none,4,car_or_other,26,none,rent,1,skilled_employee,1,yes,yes,0
0106,0_to_200,24,critical_or_other_credits,other,11938,lt_100,1_to_4y,2,male_single,co_applicant,3,car_or_other,39,none,own,2,management_or_self_employed,2,yes,yes,1
0107,none,18,all_paid_this_bank,car_new,6458,lt_100,ge_7y,2,male_single,none,4,unknown_or_none,39,bank,own,2,management_or_self_employed,2,yes,yes,1
0108,0_to_200,12,existing_paid_duly,car_new,6078,lt_100,4_to_7y,2,male_single,none,2,car_or_other,32,none,own,1,skilled_employee,1,none,yes,0
0109,lt_0,24,existing_paid_duly,furniture_equipment,7721,unknown_or_none,lt_1y,1,female_divorced_separated_married,none,2,savings_agreement_or_life_insurance,30,none,own,1,skilled_employee,1,yes,no,0
0110,0_to_200,14,existing_paid_duly,business,1410,500_to_1000,ge_7y,1,male_married_widowed,none,2,real_estate,35,none,own,1,skilled_employee,1,yes,yes,0
0111,0_to_200,6,past_delays,business,1449,100_to_500,ge_7y,1,male_divorced_separated,none,2,car_or_other,31,bank,own,2,skilled_employee,2,none,yes,0
0112,ge_200_or_salary,15,existing_paid_duly,education,392,lt_100,lt_1y,4,female_divorced_separated_married,none,4,savings_agreement_or_life_insurance,23,none,rent,1,skilled_employee,1,yes,yes,0
0113,0_to_200,18,existing_paid_duly,car_new,6260,lt_100,4_to_7y,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,none,yes,0
0114,none,36,critical_or_other_credits,car_new,7855,lt_100,1_to_4y,4,female_divorced_separated_married,none,2,real_estate,25,stores,own,2,skilled_employee,1,yes,yes,1
0115,lt_0,12,existing_paid_duly,radio_tv,1680,500_to_1000,ge_7y,3,male_married_widowed,none,1,real_estate,35,none,own,1,skilled_employee,1,none,yes,0
0116,none,48,critical_or_other_credits,radio_tv,3578,unknown_or_none,ge_7y,4,male_single,none,1,real_estate,47,none,own,1,skilled_employee,1,yes,yes,0
0117,lt_0,42,existing_paid_duly,radio_tv,7174,unknown_or_none,4_to_7y,4,female_divorced_separated_married,none,3,car_or_other,30,none,own,1,management_or_self_employed,1,yes,yes,1
0118,lt_0,10,critical_or_other_credits,furniture_equipment,2132,unknown_or_none,lt_1y,2,female_divorced_separated_married,co_applicant,3,real_estate,27,none,rent,2,skilled_employee,1,none,no,0
0119,lt_0,33,critical_or_other_credits,furniture_equipment,4281,500_to_1000,1_to_4y,1,female_divorced_separated_married,none,4,car_or_other,23,none,own,2,skilled_employee,1,none,yes,1
0120,0_to_200,12,critical_or_other_credits,car_new,2366,500_to_1000,4_to_7y,3,male_divorced_separated,none,3,car_or_other,36,none,own,1,management_or_self_employed,1,yes,yes,0
0121,lt_0,21,existing_paid_duly,radio_tv,1835,lt_100,1_to_4y,3,female_divorced_separated_married,none,2,real_estate,25,none,own,2,skilled_employee,1,yes,yes,1
0122,none,24,critical_or_other_credits,car_used,3868,lt_100,ge_7y,4,female_divorced_separated_married,none,2,car_or_other,41,none,rent,2,management_or_self_employed,1,yes,yes,0
0123,none,12,existing_paid_duly,furniture_equipment,1768,lt_100,1_to_4y,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,0
0124,ge_200_or_salary,10,critical_or_other_credits,car_new,781,lt_100,ge_7y,4,male_single,none,4,unknown_or_none,63,none,for_free,2,skilled_employee,1,yes,yes,0
0125,0_to_200,18,existing_paid_duly,furniture_equipment,1924,unknown_or_none,lt_1y,4,female_divorced_separated_married,none,3,real_estate,27,none,rent,1,skilled_employee,1,none,yes,1
0126,lt_0,12,critical_or_other_credits,car_new,2121,lt_100,1_to_4y,4,male_single,none,2,savings_agreement_or_life_insurance,30,none,own,2,skilled_employee,1,none,yes,0
0127,lt_0,12,existing_paid_duly,radio_tv,701,lt_100,1_to_4y,4,male_married_widowed,none,2,real_estate,40,none,own,1,unskilled_resident,1,none,yes,0
0128,0_to_200,12,existing_paid_duly,repairs,639,lt_100,1_to_4y,4,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,none,yes,1
0129,0_to_200,12,critical_or_other_credits,car_used,1860,lt_100,unemployed,4,male_single,none,2,car_or_other,34,none,own,2,management_or_self_employed,1,yes,yes,0
0130,lt_0,12,critical_or_other_credits,car_new,3499,lt_100,1_to_4y,3,female_divorced_separated_married,co_applicant,2,real_estate,29,none,own,2,skilled_employee,1,none,yes,1
0131,0_to_200,48,existing_paid_duly,car_new,8487,unknown_or_none,4_to_7y,1,female_divorced_separated_married,none,2,car_or_other,24,none,own,1,skilled_employee,1,none,yes,0
0132,lt_0,36,past_delays,education,6887,lt_100,1_to_4y,4,male_single,none,3,savings_agreement_or_life_insurance,29,stores,own,1,skilled_employee,1,yes,yes,1
0133,none,15,existing_paid_duly,furniture_equipment,2708,lt_100,lt_1y,2,male_single,none,3,savings_agreement_or_life_insurance,27,bank,own,2,unskilled_resident,1,none,yes,0
0134,none,18,existing_paid_duly,furniture_equipment,1984,lt_100,1_to_4y,4,male_single,none,4,unknown_or_none,47,bank,for_free,2,skilled_employee,1,none,yes,0
0135,none,60,existing_paid_duly,radio_tv,10144,100_to_500,4_to_7y,2,female_divorced_separated_married,none,4,real_estate,21,none,own,1,skilled_employee,1,yes,yes,0
0136,none,12,critical_or_other_credits,radio_tv,1240,unknown_or_none,ge_7y,4,female_divorced_separated_married,none,2,real_estate,38,none,own,2,skilled_employee,1,yes,yes,0
0137,none,27,past_delays,car_used,8613,ge_1000,1_to_4y,2,male_single,none,2,car_or_other,27,none,own,2,skilled_employee,1,none,yes,0
0138,0_to_200,12,existing_paid_duly,radio_tv,766,500_to_1000,1_to_4y,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,none,yes,1
0139,0_to_200,15,critical_or_other_credits,radio_tv,2728,unknown_or_none,4_to_7y,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled_employee,1,yes,yes,0
0140,ge_200_or_salary,12,existing_paid_duly,radio_tv,1881,lt_100,1_to_4y,2,female_divorced_separated_married,none,2,car_or_other,44,none,rent,1,unskilled_resident,1,yes,yes,0
0141,ge_200_or_salary,6,existing_paid_duly,car_new,709,ge_1000,lt_1y,2,male_married_widowed,none,2,real_estate,27,none,own,1,unemployed_unskilled_non_resident,1,none,no,0
0142,0_to_200,36,existing_paid_duly,radio_tv,4795,lt_100,lt_1y,4,female_divorced_separated_married,none,1,unknown_or_none,30,none,own,1,management_or_self_employed,1,yes,yes,0
0143,lt_0,27,existing_paid_duly,radio_tv,3416,lt_100,1_to_4y,3,male_single,none,2,car_or_other,27,none,own,1,management_or_self_employed,1,none,yes,0
0144,lt_0,18,existing_paid_duly,furniture_equipment,2462,lt_100,1_to_4y,2,male_single,none,2,car_or_other,22,none,own,1,skilled_employee,1,none,yes,1
0145,none,21,critical_or_other_credits,furniture_equipment,2288,lt_100,lt_1y,4,female_divorced_separated_married,none,4,savings_agreement_or_life_insurance,23,none,own,1,skilled_employee,1,yes,yes,0
0146,0_to_200,48,all_paid_this_bank,business,3566,100_to_500,4_to_7y,4,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,none,yes,0
0147,lt_0,6,critical_or_other_credits,car_new,860,lt_100,ge_7y,1,female_divorced_separated_married,none,4,unknown_or_none,39,none,own,2,skilled_employee,1,yes,yes,0
0148,none,12,critical_or_other_credits,car_new,682,100_to_500,4_to_7y,4,female_divorced_separated_married,none,3,car_or_other,51,none,own,2,skilled_employee,1,yes,yes,0
0149,lt_0,36,critical_or_other_credits,furniture_equipment,5371,lt_100,1_to_4y,3,male_single,guarantor,2,savings_agreement_or_life_insurance,28,none,own,2,skilled_employee,1,none,yes,0
0150,none,18,critical_or_other_credits,radio_tv,1582,ge_1000,ge_7y,4,male_single,none,4,car_or_other,46,none,own,2,skilled_employee,1,none,yes,0
0151,none,6,existing_paid_duly,radio_tv,1346,100_to_500,ge_7y,2,male_single,none,4,unknown_or_none,42,bank,for_free,1,skilled_employee,2,yes,yes,0
0152,none,10,existing_paid_duly,radio_tv,1924,lt_100,1_to_4y,1,male_single,none,4,savings_agreement_or_life_insurance,38,none,own,1,skilled_employee,1,yes,no,0
0153,ge_200_or_salary,36,existing_paid_duly,radio_tv,5848,lt_100,1_to_4y,4,male_single,none,1,car_or_other,24,none,own,1,skilled_employee,1,none,yes,0
0154,0_to_200,24,critical_or_other_credits,car_used,7758,ge_1000,ge_7y,2,female_divorced_separated_married,none,4,unknown_or_none,29,none,rent,1,skilled_employee,1,none,yes,0
0155,0_to_200,24,past_delays,business,6967,100_to_500,4_to_7y,4,male_single,none,4,car_or_other,36,none,rent,1,management_or_self_employed,1,yes,yes,0
0156,lt_0,12,existing_paid_duly,furniture_equipment,1282,lt_100,1_to_4y,2,female_divorced_separated_married,none,4,car_or_other,20,none,rent,1,skilled_employee,1,none,yes,1
0157,lt_0,9,critical_or_other_credits,repairs,1288,100_to_500,ge_7y,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled_employee,2,none,no,0
0158,lt_0,12,all_paid_this_bank,retraining,339,lt_100,ge_7y,4,male_married_widowed,none,1,car_or_other,45,bank,own,1,unskilled_resident,1,none,yes,0
0159,0_to_200,24,existing_paid_duly,car_new,3512,100_to_500,4_to_7y,2,male_single,none,3,car_or_other,38,bank,own,2,skilled_employee,1,yes,yes,0
0160,none,6,critical_or_other_credits,radio_tv,1898,unknown_or_none,1_to_4y,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,none,yes,0
0161,none,24,critical_or_other_credits,radio_tv,2872,100_to_500,ge_7y,3,male_single,none,4,real_estate,36,none,own,1,skilled_employee,2,yes,yes,0
