application_id,age,income,loan_amount,term_months,credit_utilisation,num_delinquencies,employment_status,housing,purpose,region,default
A00145,45,40437.78,18019.4,12,0.4837,0,,own,car,VIC,0
A00146,63,34901.48,10654.91,60,0.5924,0,employed,rent,education,SA,1
A00147,25,79542.52,31086.02,60,0.6212,0,employed,own,debt_consolidation,NSW,1
A00148,53,42908.43,3328.41,24,0.0857,0,employed,rent,debt_consolidation,QLD,0
A00149,47,106322.88,9154.86,24,0.4635,0,employed,mortgage,debt_consolidation,NSW,1
A00150,27,38142.04,18562.32,24,0.4495,0,retired,rent,education,VIC,0
A00151,62,64468.11,8862.5,24,0.2402,1,self_employed,rent,education,SA,0
A00152,62,48909.29,6800.12,36,0.2282,0,employed,mortgage,education,QLD,1
A00153,44,38587.75,9325.16,48,0.1928,0,employed,own,car,NSW,0
A00154,67,70576.59,4779.27,48,0.189,2,self_employed,own,home_improvement,SA,0
A00155,50,50526.73,11747.22,36,0.2023,0,self_employed,rent,debt_consolidation,VIC,1
A00156,65,71071.72,47300.55,12,0.1495,0,employed,own,debt_consolidation,VIC,0
A00157,68,53035.61,21742.39,24,0.3775,1,employed,rent,debt_consolidation,SA,0
A00158,48,33235.79,5622.85,36,0.219,2,employed,mortgage,car,QLD,0
A00159,34,51744.26,6476.89,36,0.2757,1,employed,rent,debt_consolidation,NSW,1
A00160,28,55457.92,8579.78,24,0.0984,0,employed,own,car,VIC,0
A00161,48,83392.06,19983.25,24,0.1379,0,retired,own,car,QLD,0
A00162,30,36032.58,6681.57,48,0.5562,1,employed,rent,other,VIC,1
A00163,57,53225.96,7229.04,12,0.4732,1,self_employed,mortgage,other,NSW,0
A00164,66,24963.11,18598.75,24,0.1028,0,employed,rent,other,VIC,0
A00165,33,72632.8,18375.83,24,0.2123,1,employed,rent,home_improvement,NSW,0
A00166,48,33300.67,8740.4,60,0.4619,3,,rent,education,NSW,0
A00167,23,24031.92,5593.4,24,0.1697,0,self_employed,own,car,NSW,0
A00168,29,52751.76,4316.3,12,0.4122,1,retired,rent,car,VIC,1
A00169,39,89103.89,7191.15,24,0.2415,1,employed,own,education,VIC,0
A00170,64,27282.45,2868.9,36,0.1048,1,employed,rent,education,NSW,0
A00171,68,33202.62,17152.38,24,0.185,0,employed,mortgage,car,QLD,0
A00172,52,38774.82,7494.93,48,0.3389,0,employed,own,education,QLD,0
A00173,49,32588.88,14599.99,24,0.4576,0,unemployed,rent,other,WA,0
A00174,48,64263.21,33556.8,36,0.2249,0,employed,rent,debt_consolidation,NSW,1
A00175,23,37672.46,22110.27,24,0.588,1,employed,own,debt_consolidation,QLD,1
A00176,39,39156.37,5482.51,48,0.5034,1,employed,mortgage,home_improvement,NSW,1
A00177,69,70437.95,18426.58,24,0.491,0,employed,own,other,VIC,0
A00178,41,38561.84,21910.35,36,0.2886,1,employed,mortgage,education,VIC,1
A00179,31,65824.74,6989.65,48,0.1426,0,employed,own,education,QLD,0
A00180,32,34992.07,6173.5,24,0.4202,1,self_employed,rent,car,VIC,0
A00181,55,31399.2,10241.31,12,0.1249,1,employed,mortgage,education,SA,1
A00182,22,23719.38,4184.51,36,0.2094,1,unemployed,mortgage,debt_consolidation,QLD,1
A00183,68,125184.17,26434.92,36,0.2555,1,employed,rent,education,VIC,1
A00184,63,46905.18,2583.19,36,0.2908,1,employed,own,home_improvement,WA,0
A00185,48,60461.98,5630.29,48,0.7235,0,employed,rent,car,NSW,0
A00186,43,53424.66,9304.57,36,0.2629,0,retired,rent,debt_consolidation,QLD,0
A00187,58,58219.92,9544.76,36,0.4943,0,employed,own,debt_consolidation,VIC,0
A00188,47,55401.33,12084.45,36,0.1177,1,employed,rent,debt_consolidation,NSW,1
A00189,44,127860.83,12872.77,36,0.1573,0,employed,mortgage,car,QLD,0
A00190,36,33944.53,9622.24,24,0.028,0,employed,rent,debt_consolidation,NSW,0
A00191,42,26880.11,21636.39,24,0.3365,1,employed,own,education,NSW,1
A00192,57,34358.96,3030.17,24,0.1484,0,retired,rent,other,NSW,0
A00193,23,29714.22,10936.94,24,0.1913,0,,rent,car,VIC,0
A00194,22,75821.18,7124.18,24,0.5165,1,employed,mortgage,other,QLD,0
A00195,56,78367.94,11843.19,48,0.3626,1,retired,rent,home_improvement,NSW,0
A00196,39,35150.99,12487.16,12,0.1101,1,employed,own,education,VIC,1
A00197,60,28978.34,6329.03,24,0.487,0,self_employed,own,car,SA,0
A00198,22,46181.82,7445.99,36,0.1744,1,employed,own,education,SA,0
A00199,65,101316.62,17598.2,24,0.3256,0,employed,mortgage,other,QLD,0
A00200,27,15232.61,13486.36,24,0.2005,0,employed,rent,debt_consolidation,NSW,1
A00201,41,68664.12,7272.47,24,0.4086,1,employed,own,education,VIC,1
A00202,68,33386.61,37195.18,36,0.0322,1,retired,mortgage,home_improvement,WA,0
A00203,26,86522.97,43717.62,36,0.0939,0,employed,own,car,WA,1
A00204,53,33354.04,4548.36,60,0.3188,0,employed,rent,other,SA,0
A00205,56,47646.42,13109.3,48,0.0771,0,employed,mortgage,other,VIC,0
A00206,41,27506.41,49286.06,24,0.3475,0,self_employed,mortgage,car,VIC,1
A00207,24,34899.72,17506.7,36,0.3198,0,employed,own,education,VIC,1
A00208,46,101075.96,12489.41,24,0.2245,0,employed,rent,debt_consolidation,WA,0
A00209,42,78375.01,9654.37,24,0.1663,0,employed,own,education,SA,0
A00210,63,45217.95,7905.26,60,0.2903,1,retired,rent,education,VIC,0
A00211,54,36622.66,9628.58,12,0.2842,1,employed,own,other,VIC,0
A00212,37,23104.59,7860.16,24,0.2342,0,employed,own,car,QLD,1
A00213,23,45381.26,17101.9,36,0.4903,0,self_employed,own,car,VIC,1
A00214,49,53428.18,8613.69,36,0.2134,0,employed,own,home_improvement,VIC,0
A00215,34,52165.44,8394.31,24,0.4569,1,employed,rent,car,NSW,1
A00216,54,51937.36,5317.21,60,0.1435,0,retired,own,education,NSW,0
A00217,63,32701.81,10617.36,24,0.4543,0,self_employed,rent,debt_consolidation,VIC,1
A00218,38,52584.5,6396.63,36,0.0669,1,employed,own,other,NSW,0
A00219,65,53241.69,9813.85,12,0.3753,1,retired,rent,other,NSW,0
A00220,46,96833.95,20436.74,48,0.325,0,employed,own,home_improvement,SA,1
A00221,47,125496.11,13623.55,12,0.5682,1,employed,rent,other,QLD,0
A00222,58,,14806.7,24,0.7045,0,unemployed,rent,debt_consolidation,VIC,1
A00223,59,38375.03,13543.4,48,0.496,0,retired,own,other,SA,1
A00224,65,,11333.36,60,0.3299,0,self_employed,rent,education,NSW,0
A00225,69,41215.53,10133.51,60,0.3884,0,,own,debt_consolidation,VIC,0
A00226,28,38789.5,9093.51,48,0.107,0,employed,own,debt_consolidation,WA,0
A00227,41,52765.21,17248.32,24,0.0371,0,employed,own,home_improvement,SA,0
A00228,66,33877.73,5707.04,12,0.047,1,employed,mortgage,debt_consolidation,WA,0
A00229,36,71164.4,24451.18,36,0.159,0,self_employed,own,car,NSW,0
A00230,21,51701.29,11163.97,12,0.1352,0,employed,own,education,VIC,1
A00231,49,60627.49,6979.83,60,0.2526,1,unemployed,mortgage,car,NSW,1
A00232,57,49895.05,8156.03,12,0.0618,0,self_employed,own,education,NSW,0
A00233,57,39055.36,7286.7,24,0.2615,0,employed,own,other,WA,0
A00234,60,35362.89,12041.62,24,0.3795,0,unemployed,own,other,NSW,0
A00235,52,48689.85,7110.26,12,0.2091,1,employed,mortgage,home_improvement,NSW,0
A00236,27,42321.81,21704.58,36,0.1149,0,self_employed,own,debt_consolidation,NSW,0
A00237,62,,6843.24,12,0.3303,2,employed,mortgage,education,QLD,0
A00238,41,54068.43,2797.52,48,0.1775,0,employed,own,education,QLD,0
A00239,62,29347.48,7054.36,36,0.1142,0,self_employed,rent,debt_consolidation,NSW,0
A00240,60,55837.7,3277.67,24,0.3763,0,employed,mortgage,car,VIC,0
A00241,68,29605.42,10679.47,48,0.3629,2,retired,rent,car,SA,1
A00242,21,41051.6,20650.5,48,0.5513,0,,rent,car,NSW,1
A00243,63,47455.18,16133.54,24,0.055,1,unemployed,rent,car,NSW,1
A00244,51,21292.86,4902.23,48,0.5559,0,employed,own,other,QLD,0
A00245,44,56453.83,6923.29,60,0.3166,3,employed,mortgage,debt_consolidation,NSW,1
A00246,59,57985.17,31798.68,36,0.2223,0,employed,rent,home_improvement,VIC,1
A00247,67,50457.62,13241.44,24,0.2202,0,employed,rent,other,NSW,0
A00248,46,44759.42,10965.08,60,0.1121,0,employed,rent,debt_consolidation,NSW,0
A00249,25,45792.63,20612.18,60,0.2715,0,self_employed,mortgage,education,QLD,0
A00250,56,34911.0,47650.32,24,0.4752,1,unemployed,own,other,QLD,1
A00251,32,47984.57,23811.98,12,0.2032,1,employed,own,home_improvement,NSW,0
A00252,32,42248.52,11892.33,48,0.3557,0,unemployed,mortgage,car,NSW,0
A00253,30,56458.35,13532.01,36,0.3591,0,employed,rent,car,SA,0
A00254,30,31512.47,15839.27,24,0.2998,0,unemployed,rent,education,NSW,0
A00255,65,60235.4,7573.28,36,0.4195,2,retired,rent,education,NSW,1
A00256,38,57782.92,5795.1,24,0.0648,0,self_employed,mortgage,home_improvement,VIC,0
A00257,26,50832.78,11287.71,60,0.1981,2,retired,mortgage,education,NSW,1
A00258,29,44460.56,6196.09,24,0.1505,0,self_employed,rent,education,NSW,1
A00259,40,69463.24,10542.0,24,0.1063,0,self_employed,own,other,SA,0
A00260,37,25614.89,11587.4,12,0.3976,0,employed,mortgage,other,NSW,1
A00261,36,66649.58,44561.36,24,0.1389,1,employed,own,home_improvement,WA,0
A00262,67,60437.61,6564.1,60,0.6266,0,employed,mortgage,other,VIC,0
A00263,63,61544.72,10167.25,24,0.3206,0,unemployed,own,education,NSW,0
A00264,49,64375.65,9911.18,36,0.2303,0,employed,mortgage,education,NSW,0
A00265,69,40370.72,14219.74,60,0.3567,0,self_employed,rent,other,QLD,0
A00266,37,48206.2,20497.02,12,0.3411,1,employed,own,debt_consolidation,VIC,1
A00267,27,72162.53,8149.48,24,0.3125,0,self_employed,mortgage,car,NSW,0
A00268,34,65761.36,6682.11,48,0.3257,0,retired,rent,debt_consolidation,NSW,1
A00269,25,59457.72,4087.03,12,0.5369,0,,own,other,SA,0
A00270,67,27407.06,6274.68,60,0.2418,1,employed,mortgage,car,QLD,0
A00271,31,69012.93,15091.16,48,0.2159,0,self_employed,rent,home_improvement,QLD,0
A00272,42,,11241.73,12,0.1966,0,employed,rent,car,SA,1
A00273,30,85336.04,5947.58,36,0.4507,1,unemployed,mortgage,other,NSW,0
A00274,69,60189.01,8745.89,36,0.1223,1,employed,own,education,VIC,0
A00275,28,26877.5,11146.53,36,0.2017,0,employed,own,debt_consolidation,WA,1
A00276,46,82796.84,14797.41,24,0.2416,2,retired,mortgage,car,VIC,1
A00277,67,50702.75,7661.5,24,0.0656,1,unemployed,own,other,VIC,0
A00278,46,17332.98,9411.95,24,0.3833,0,,mortgage,other,WA,1
A00279,65,64199.03,3673.64,24,0.15,1,employed,own,home_improvement,SA,0
A00280,64,27681.59,5481.69,24,0.1103,0,self_employed,mortgage,car,WA,0
A00281,58,30230.35,28872.05,60,0.2079,0,retired,rent,other,QLD,0
A00282,57,40711.61,2942.8,48,0.2383,1,self_employed,rent,education,VIC,0
A00283,49,96054.02,8931.31,24,0.2664,0,employed,rent,home_improvement,QLD,1
A00284,49,45849.5,12475.46,36,0.2229,1,employed,rent,debt_consolidation,NSW,0
A00285,61,61202.68,8737.6,36,0.3006,0,employed,rent,education,NSW,0
A00286,41,118965.12,6735.22,24,0.1917,0,employed,rent,education,NSW,1
A00287,67,111003.1,10544.43,24,0.1029,0,employed,own,car,QLD,0
A00288,64,51714.37,10905.48,60,0.5916,0,employed,mortgage,education,SA,0
A00289,39,48596.93,10412.16,24,0.2973,2,self_employed,mortgage,home_improvement,QLD,0
A00290,41,30718.13,3545.28,36,0.3159,0,unemployed,own,home_improvement,NSW,0
A00291,56,39636.03,10012.18,60,0.0505,0,employed,own,other,QLD,0
A00292,66,65605.27,6548.11,24,0.2224,0,employed,rent,other,VIC,0
A00293,25,64736.4,7874.29,48,0.2642,1,retired,mortgage,education,WA,0
A00294,24,56931.68,12533.81,12,0.1217,0,retired,rent,education,VIC,0
A00295,33,84766.93,16065.63,36,0.1556,0,retired,own,home_improvement,NSW,0
A00296,42,38270.49,18733.46,48,0.0958,0,employed,mortgage,debt_consolidation,NSW,0
A00297,28,52826.36,8120.54,48,0.0435,0,employed,own,car,NSW,0
A00298,46,75286.74,19041.99,60,0.4216,0,self_employed,rent,debt_consolidation,VIC,1
A00299,47,70464.59,22119.98,36,0.3565,0,employed,mortgage,education,VIC,1
A00300,67,87721.79,21633.16,60,0.1099,0,employed,own,home_improvement,VIC,0
A00301,57,64773.98,25181.4,24,0.415,0,retired,rent,education,QLD,1
A00302,33,47134.89,10022.53,36,0.1506,0,employed,rent,other,SA,0
A00303,59,63766.71,9852.9,24,0.6088,0,employed,mortgage,home_improvement,WA,0
A00304,60,34504.06,17944.35,12,0.1096,1,employed,own,home_improvement,VIC,1
A00305,54,25906.35,4817.86,24,0.296,1,self_employed,rent,debt_consolidation,VIC,1
A00306,54,70354.52,12402.55,36,0.2676,1,employed,mortgage,home_improvement,NSW,0
A00307,36,52848.62,7955.86,48,0.268,0,self_employed,own,debt_consolidation,QLD,0
A00308,56,62241.94,8766.8,12,0.2531,3,employed,mortgage,debt_consolidation,NSW,1
A00309,27,25236.38,3847.16,60,0.279,2,employed,rent,debt_consolidation,NSW,1
A00310,51,45967.9,6410.38,24,0.2665,2,employed,own,other,QLD,0
A00311,66,41359.78,10804.34,24,0.1369,0,employed,mortgage,other,NSW,0
A00312,68,36721.02,18640.13,48,0.0976,0,unemployed,rent,other,WA,0
A00313,35,19638.42,19811.46,48,0.5264,0,employed,own,debt_consolidation,QLD,1
A00314,37,46597.72,10423.35,36,0.1358,0,self_employed,own,debt_consolidation,VIC,0
A00315,51,81128.28,9763.7,24,0.3624,0,unemployed,rent,car,SA,1
A00316,40,64308.62,6644.82,36,0.4257,2,employed,rent,home_improvement,NSW,0
A00317,56,41339.51,13924.62,48,0.5144,0,employed,own,home_improvement,NSW,0
A00318,30,53814.91,9428.13,24,0.2547,2,employed,rent,education,VIC,0
A00319,29,76157.59,15733.24,48,0.3908,0,,own,education,SA,0
A00320,23,15643.52,31288.69,48,0.1062,0,unemployed,mortgage,debt_consolidation,NSW,1
A00321,44,51223.75,10727.6,36,0.169,0,employed,rent,car,QLD,0
A00322,31,69178.13,4454.13,48,0.2249,1,self_employed,rent,other,SA,0
A00323,35,73641.05,6525.61,24,0.3532,1,employed,mortgage,debt_consolidation,NSW,1
A00324,65,116462.96,4560.15,36,0.1714,2,employed,own,other,QLD,0
A00325,60,90288.97,5333.35,36,0.2844,0,employed,mortgage,home_improvement,QLD,0
A00326,62,62358.38,23936.56,24,0.1493,1,unemployed,rent,education,VIC,1
A00327,50,62062.0,12531.44,36,0.5364,1,employed,rent,education,VIC,1
A00328,26,77197.74,4393.56,36,0.1973,0,self_employed,own,other,SA,0
A00329,57,42501.85,16190.49,36,0.0563,0,employed,rent,other,VIC,0
A00330,50,53205.41,23300.38,12,0.5083,0,employed,rent,education,VIC,0
A00331,65,81455.13,8813.81,60,0.2764,1,unemployed,rent,car,VIC,1
A00332,44,130724.89,7291.07,60,0.2352,0,self_employed,mortgage,other,NSW,0
A00333,29,50429.4,8933.59,12,0.3869,0,self_employed,rent,home_improvement,WA,1
A00334,50,53009.14,12974.79,60,0.5958,2,employed,own,education,NSW,0
A00335,43,59237.86,16058.32,36,0.4959,1,employed,mortgage,debt_consolidation,SA,1
A00336,53,99155.21,22232.94,12,0.448,0,retired,rent,home_improvement,SA,0
